Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
North Dakota Geological Survey Bulletin	N. D. Geol. Surv. Bull.	N D Geol Surv Bull
North Dakota Geological Survey Miscellaneous Series	N. D. Geol. Surv. Misc. Ser.	N D Geol Surv Misc Ser
North Dakota Geological Survey Report of Investigation	N. D. Geol. Surv. Rep. Investig.	N D Geol Surv Rep Investig
North Dakota Insects Schafer-Post Series	N. D. Insects Schafer-Post Ser.	N D Insects Schafer-Post Ser
North Dakota Outdoors	N. D. Outdoors	N D Outdoors
North Down Ringing Group Annual Report	North Down Ringing Group Annu. Rep.	North Down Ringing Group Annu Rep
North of England Zoological Society Annual Report	North Engl. Zool. Soc. Annu. Rep.	North Engl Zool Soc Annu Rep
North Pacific Anadromous Fish Commission Annual Report	North Pac. Anadromous Fish Comm. Annu. Rep.	North Pac Anadromous Fish Comm Annu Rep
North Pacific Anadromous Fish Commission Bulletin	North Pac. Anadromous Fish Comm. Bull.	North Pac Anadromous Fish Comm Bull
North Pacific Fur Seal Commission Proceedings of the Annual Meeting	North Pac. Fur Seal Comm. Proc. Annu. Meet.	North Pac Fur Seal Comm Proc Annu Meet
North Pacific Islands Biological Researches	N. Pac. Isl. Biol. Res.	N Pac Isl Biol Res
North Queensland Naturalist	North Queensl. Nat.	North Queensl Nat
North Queensland Naturalists Club Cairns Newsletter	N. Qld. Nat. Club Cairns Newsl.	N Qld Nat Club Cairns Newsl
North Sea Bird Club Report	North Sea Bird Club Rep.	North Sea Bird Club Rep
North Sea Forum Report	North Sea Forum Rep.	North Sea Forum Rep
North Staffordshire Journal of Field Studies	North Staffs. J. Field Stud.	North Staffs J Field Stud
North Wales Naturalists' Trust Ltd Annual Report	North Wales Nat. Trust Ltd. Annu. Rep.	North Wales Nat Trust Ltd Annu Rep
North Wales Naturalists' Trust Newsletter	North Wales Nat. Trust Newsl.	North Wales Nat Trust Newsl
North Wales Wildlife Trust Annual Report	North Wales Wildl. Trust Annu. Rep.	North Wales Wildl Trust Annu Rep
North Western Naturalist	North West. Nat.	North West Nat
Northamptonshire Bird Report	Northamps. Bird Rep.	Northamps Bird Rep
Northeast Fisheries Science Center Reference Document	Northeast Fish Sci. Cent. Ref. Doc.	Northeast Fish Sci Cent Ref Doc
Northeast Gulf Science	Northeast Gulf. Sci.	Northeast Gulf Sci
North-East Scotland Bird Report	North-East Scotl. Bird Rep.	North-East Scotl Bird Rep
Northeast Wildlife	Northeast Wildl.	Northeast Wildl
Northeastern Breeding Bird Atlas Conference	Northeast. Breed. Bird Atlas Conf.	Northeast Breed Bird Atlas Conf
Northeastern Geology and Environmental Sciences	Northeast. Geol. Environ. Sci.	Northeast Geol Environ Sci
Northeastern Geology	Northeast. Geol.	Northeast Geol
Northern Ireland Bird Report	North Irel. Bird Rep	North Irel Bird Rep
Northern Journal of Applied Forestry	North. J. Appl. For.	North J Appl For
Northern Territory Geological Survey Report	North. Territ. Geol. Surv. Rep.	North Territ Geol Surv Rep
Northern Territory Museum Handbook Series	North. Territ. Mus. Handb. Ser.	North Territ Mus Handb Ser
Northern Territory Naturalist	North. Territ. Nat.	North Territ Nat
Northwest Atlantic Fisheries Organization Scientific Council Studies	Northwest Atl. Fish Organ. Sci. Counc. Stud.	Northwest Atl Fish Organ Sci Counc Stud
Northwest Environmental Journal	Northwest Environ. J.	Northwest Environ J
Northwest Fauna	Northwest Fauna	Northwest Fauna
Northwest Geoscience	Northwest Geosci.	Northwest Geosci
North-Western Journal of Zoology	North-West J. Zool.	North-West J Zool
Norwegian Journal of Agricultural Sciences Supplement	Norw. J. Agric. Sci. Suppl.	Norw J Agric Sci Suppl
Norwegian Journal of Agricultural Sciences	Norw. J. Agric. Sci.	Norw J Agric Sci
Norwegian Journal of Geology	Nor. J. Geol.	Nor J Geol
Nos Oiseaux Supplement	Nos. Oiseaux Suppl.	Nos Oiseaux Suppl
Nos Oiseaux	Nos. Oiseaux	Nos Oiseaux
Nota Lepidopterologica Supplement	Nota Lepidopterol. Suppl.	Nota Lepidopterol Suppl
Notas del Museo de La Plata Paleontologia	Notas Mus. La Plata Paleontol	Notas Mus La Plata Paleontol
Notas del Museo de La Plata Zoologia	Notas Mus. La Plata Zool.	Notas Mus La Plata Zool
Notas Tecnicas de FACIMAR	Notas Tec. FACIMAR	Notas Tec FACIMAR
Notatki Ornitologiczne	Notatki Ornitol.	Notatki Ornitol
Notes Africaines	Notes Afr.	Notes Afr
Notes and Records of the Royal Society of London	Notes Rec.R. Soc. Lond.	Notes Rec R Soc Lond
Notes et Documents Burkinabe	Notes Doc. Burkinabe	Notes Doc Burkinabe
Notes et Documents Voltaiques	Notes Doc. Volta.	Notes Doc Volta
Notes et Memoires du Service Geologique (Rabat)	Notes Mem. Serv. Geol. (Rabat)	Notes Mem Serv Geol (Rabat)
Notes et Memoires Total Compagnie Francaise des Petroles	Notes Mem. TOTAL Cie. Fr. Pet.	Notes Mem TOTAL Cie Fr Pet
Notes Fauniques de Gembloux	Notes Fauniques Gembloux	Notes Fauniques Gembloux
Notes of the Arachnologists of the Southwest	Notes Arachnol Southwest	Notes Arachnol Southwest
Notes on Eurasian Insects	Notes Eurasian Insects	Notes Eurasian Insects
Notes on Papilionidae	Notes Papilionidae	Notes Papilionidae
Noticiario de la Sociedad Espanola de Malacologia	Not. Soc. Esp. Malacol.	Not Soc Esp Malacol
Noticiario Mensual Museo Nacional de Historia Natural (Santiago)	Not. Mens. Mus. Nac. Hist. Nat. (Santiago)	Not Mens Mus Nac Hist Nat (Santiago)
Noticias de Galapagos	Not. Galapagos	Not Galapagos
Noticias Paleontologicas	Not. Paleontol.	Not Paleontol
Notiziario C.I.S.M.A.	Not. C.I.S.M.A.	Not C I S M A
Notiziario di Mineralogia e Paleontologia	Not. Mineral. Paleontol.	Not Mineral Paleontol
Notiziario S.I.M.	Not. S.I.M.	Not S I M
Notiziario sulla Protezione delle Piante	Not. Prot. Piante	Not Prot Piante
Notiziario Sulle Malattie delle Piante	Not. Mal. Piante	Not Mal Piante
Notornis	Notornis	Notornis
Nottinghamshire Trust for Nature Conservation Ltd Newsletter	Notts. Trust Nat. Conserv. Ltd. Newsl.	Notts Trust Nat Conserv Ltd Newsl
Nottinghamshire Wildlife Newsletter	Notts. Wildl. Newsl.	Notts Wildl Newsl
Nottinghamshire Wildlife	Notts. Wildl.	Notts Wildl
Notulae Entomologicae	Not. Entomol.	Not Entomol
Notulae Naturae (Philadelphia)	Not. Nat. (Phila.)	Not Nat (Phila)
Notulas Faunisticas	Not. Faun.	Not Faun
Nouv'ailes	Nouv'ailes	Nouv'Ailes
Nouvelles Archives du Museum d'Histoire Naturelle de Lyon	Nouv. Arch. Mus. Hist. Nat. Lyon	Nouv Arch Mus Hist Nat Lyon
Nouvelles de la Science et des Technologies	Nouv. Sci. Technol.	Nouv Sci Technol
Nova Acta Leopoldina	Nova Acta Leopold.	Nova Acta Leopold
Nova Hedwigia Beiheft	Nova Hedwigia Beih.	Nova Hedwigia Beih
Nova Hedwigia	Nova Hedwigia	Nova Hedwigia
Nova Scotia Birds	N. S. Birds	N S Birds
Nova Supplementa Entomologica	Nova Suppl. Entomol.	Nova Suppl Entomol
Novapex Hors Serie	Novapex Hors Ser.	Novapex Hors Ser
Novapex Societe	Novapex Soc.	Novapex Soc
Novapex	Novapex	Novapex
Novartis Foundation Symposium	Novartis Found. Symp.	Novartis Found Symp
Novedades Colombianas Nueva Epoca	Noved. Colomb. Nueva Epoca	Noved Colomb Nueva Epoca
Noveldiana	Noveldiana	Noveldiana
Novenyvedelem	Novenyvedelem	Novenyvedelem
Novitates Arthropodae	Novit. Arthropodae	Novit Arthropodae
Novitates Caribaea	Nov. Carib.	Nov Carib
Novius Sonderhefte	Novius Sonderh.	Novius Sonderh
Novius	Novius	Novius
Novoe v Zhizni Nauke Tekhnike Seriya Biologiya	Nov. Zhizni Nauke Tekh. Ser. Biol.	Nov Zhizni Nauke Tekh Ser Biol
Novosti Paleontologii i Stratigrafii	Nov. Paleontol. Stratigr.	Nov Paleontol Stratigr
Novosti Sistematiki Nizshikh Rastenii	Nov. Sist. Nizshikh Rast.	Nov Sist Nizshikh Rast
Novye i Maloizvestnye Vidy Fauny Sibiri	Nov. Maloizvestnye Vidy Fauny Sib.	Nov Maloizvestnye Vidy Fauny Sib
Novye i Redkie Dlya Litovskoi SSR Vidy Nasekomykh Soobshcheniya i Opisaniya	Nov. Redk. Dlya Litov. SSR Vid. Nasekomykh. Soobshch. Opisaniya	Nov Redk Dlya Litov SSR Vidy Nasekomykh Soobshch Opisaniya
Novye i Redkie Dlya Litvy Vidy Nasekomykh Soobshcheniya i Opisaniya	Nov. Redk. Dlya Litvy Vidy Nasekomykh. Soobshch. Opisaniya	Nov Redk Dlya Litvy Vidy Nasekomykh Soobshch Opisaniya
NPAFC Document	NPAFC Doc.	NPAFC Doc
NSC Special Publication (Taipei)	NSC Spec. Publ. (Taipei)	NSC Spec Publ (Taipei)
NSC Symposium Series	NSC Symp. Ser.	NSC Symp Ser
NSS (National Speleological Society) Bulletin	NSS (Natl. Speleol. Soc.) Bull.	NSS (Natl Speleol Soc) Bull
NSS (National Speleological Society) News	NSS (Natl. Speleol. Soc.) News	NSS (Natl Speleol Soc) News
NSW Department of Primary Industries Fisheries Final Report Series	NSW Dep. Prim. Ind. Fish Final Rep.	NSW Dep Prim Ind Fish Final Rep
NTM Neue Serie	NTM Neue Ser.	NTM Neue Ser
NTM Schriftenreihe fuer Geschichte der Naturwissenschaften Technik und Medizin	NTM Schriftenr. Gesch. Natwiss. Tech. Med.	NTM Schriftenr Gesch Natwiss Tech Med
NTU Phytopathologist & Entomologist	NTU Phytopathol. Entomol.	NTU Phytopathol Entomol
Nucleic Acids Symposium Series	Nucleic Acids Symp. Ser.	Nucleic Acids Symp Ser
Nucleus (Calcutta)	Nucleus (Calcutta)	Nucleus (Calcutta)
Nuestras Aves	Nuestras Aves	Nuestras Aves
Nyala	Nyala	Nyala
Nyame Akuma	Nyame Akuma	Nyame Akuma
Nyctalus	Nyctalus	Nyctalus
Nymphaea	Nymphaea	Nymphaea
NZOI (New Zealand Oceanographic Institute) Records	NZOI (N.Z. Oceanogr. Inst.) Rec.	NZOI (N Z Oceanogr Inst) Rec
"Ob""edinennyi Institut Geologii Geofiziki i Mineralogii Trudy"	"Ob""edin. Inst. Geol. Geofiz. Mineral. Tr"	"Ob""edin Inst Geol Geofiz Mineral Tr"
Oberrheinische Geologische Abhandlungen	Oberrh. Geol. Abh	Oberrh Geol Abh
Obihiro Chikusan Daigaku Gakujutsu Kenkyu Hokoku	Obihiro. Chikusan. Daigaku. Gakujutsu. Kenkyu. Hokoku	Obihiro Chikusan Daigaku Gakujutsu Kenkyu Hokoku
Obshta i Sravnitelna Patologiya	Obshta. Sravn. Patol	Obshta Sravn Patol
Occasional Paper of the Tyrrell Museum of Palaeontology	Occas. Pap. Tyrrell. Mus. Palaeontol	Occas Pap Tyrrell Mus Palaeontol
Occasional Papers Bernice P. Bishop Museum	Occas. Pap. Bernice. P. Bishop Mus	Occas Pap Bernice P Bishop Mus
Occasional Papers California Academy of Sciences	Occas. Pap. Calif. Acad. Sci	Occas Pap Calif Acad Sci
Occasional Papers from the Museum of Victoria	Occas. Pap. Mus. Vic	Occas Pap Mus Vic
Occasional Papers in Conservation Biology	Occas. Pap. Conserv. Biol	Occas Pap Conserv Biol
Occasional Papers in Ichthyology	Occas. Pap. Ichthyol	Occas Pap Ichthyol
Occasional Papers in Irish Science and Technology	Occas. Pap. Ir. Sci. Technol	Occas Pap Ir Sci Technol
Occasional Papers in Paleobiology St Cloud State University	Occas. Pap. Paleobiol. St. Cloud. State. Univ	Occas Pap Paleobiol St Cloud State Univ
Occasional Papers Kagoshima University Research Center for the Pacific Islands	Occas. Pap. Kagoshima. Univ. Res. Cent. Pac. Isl	Occas Pap Kagoshima Univ Res Cent Pac Isl
Occasional Papers Museum of Texas Tech University	Occas. Pap. Mus. Tex. Tech. Univ	Occas Pap Mus Tex Tech Univ
Occasional Papers of IUCN Sri Lanka	Occas. Pap. IUCN. Sri. Lanka	Occas Pap IUCN Sri Lanka
Occasional Papers of the Consortium Coleopterorum	Occas. Pap. Consort. Coleopt	Occas Pap Consort Coleopt
Occasional Papers of the Department of Life Sciences University of the West Indies	Occas. Pap. Dep. Life Sci. Univ. West. Indies	Occas Pap Dep Life Sci Univ West Indies
Occasional Papers of the Florida State Collection of Arthropods	Occas. Pap. Fla. State. Collect. Arthropods	Occas Pap Fla State Collect Arthropods
Occasional Papers of the Hutton Foundation	Occas. Pap. Hutton. Found	Occas Pap Hutton Found
Occasional Papers of the IUCN Species Survival Commission	Occas. Pap. IUCN. Species Survival. Comm	Occas Pap IUCN Species Survival Comm
Occasional Papers of the Museum of Natural History University of Kansas	Occas. Pap. Mus. Nat. Hist. Univ. Kans	Occas Pap Mus Nat Hist Univ Kans
Occasional Papers of the Museum of Natural Science Louisiana State University	Occas. Pap. Mus. Nat. Sci. La. State. Univ	Occas Pap Mus Nat Sci La State Univ
Occasional Papers of the Museum of Zoology Louisiana State University	Occas. Pap. Mus. Zool. La. State. Univ	Occas Pap Mus Zool La State Univ
Occasional Papers of the Museum of Zoology University of Michigan	Occas. Pap. Mus. Zool. Univ. Mich	Occas Pap Mus Zool Univ Mich
Occasional Papers of the Natural History Museum University of Kansas	Occas. Pap. Nat. Hist. Mus. Univ. Kans	Occas Pap Nat Hist Mus Univ Kans
Occasional Papers of the North Carolina Biological Survey	Occas. Pap. N. C. Biol. Surv	Occas Pap N C Biol Surv
Occasional Papers of the North Carolina Museum of Natural Sciences and the North Carolina Biological Survey	Occas. Pap. N. C. Mus. Nat. Sci. N. C. Biol. Surv	Occas Pap N C Mus Nat Sci N C Biol Surv
Occasional Papers of the Oklahoma Museum of Natural History	Occas. Pap. Okla. Mus. Nat. Hist	Occas Pap Okla Mus Nat Hist
Occasional Papers of the Western Foundation of Vertebrate Zoology	Occas. Pap. West. Found. Vertebr. Zool	Occas Pap West Found Vertebr Zool
Occasional Papers on Mollusks Museum of Comparative Zoology Harvard University	Occas. Pap. Mollusks. Mus. Comp. Zool. Harv. Univ	Occas Pap Mollusks Mus Comp Zool Harv Univ
Occasional Papers on Systematic Entomology	Occas. Pap. Syst. Entomol	Occas Pap Syst Entomol
Occasional Papers on Trichoptera Taxonomy	Occas. Pap. Trichoptera. Taxon	Occas Pap Trichoptera Taxon
Occasional Papers Sam Noble Oklahoma Museum of Natural History	Occas. Pap. Sam. Noble. Okla. Mus. Nat. Hist	Occas Pap Sam Noble Okla Mus Nat Hist
Occasional Papers the Museum of Southwestern Biology	Occas. Pap. Mus. Southwest. Biol	Occas Pap Mus Southwest Biol
Occasional Papers Tulane University Museum of Natural History	Occas. Pap. Tulane. Univ. Mus. Nat. Hist	Occas Pap Tulane Univ Mus Nat Hist
Occasional Publication Eurobodalla Natural History Society	Occas. Publ. Eurobodalla. Nat. Hist. Soc	Occas Publ Eurobodalla Nat Hist Soc
Occasional Publication International Association of Theoretical and Applied Limnology	Occas. Publ. Int. Assoc. Theor. Appl. Limnol	Occas Publ Int Assoc Theor Appl Limnol
Occasional Publication of the Entomology Research Institute Loyola College	Occas. Publ. Entomol. Res. Inst. Loyola. Coll	Occas Publ Entomol Res Inst Loyola Coll
Occasional Publication of the Institute of Malacology of Tokyo	Occas. Publ. Inst. Malacol. Tokyo	Occas Publ Inst Malacol Tokyo
Occasional Publication of the Mammal Society	Occas. Publ. Mammal Soc	Occas Publ Mammal Soc
Occasional Publications Biological Laboratory of Fuji Women's College	Occas. Publ. Biol. Lab. Fuji. Women's Coll	Occas Publ Biol Lab Fuji Women's Coll
Occasional Publications by the Entomological Society of Japan	Occas. Publ. Entomol. Soc. Jpn	Occas Publ Entomol Soc Jpn
Occasional Publications in Biodiversity	Occas. Publ. Biodivers	Occas Publ Biodivers
Occasional Publications of the Barnsley Naturalist and Scientific Society	Occas. Publ. Barnsley. Nat. Sci. Soc	Occas Publ Barnsley Nat Sci Soc
Occasional Publications of the Cumberland Island Museum	Occas. Publ. Cumberl. Isl. Mus	Occas Publ Cumberl Isl Mus
Occasional Publications of the Royal Society of South Australia	Occas. Publ. R. Soc. South. Aust	Occas Publ R Soc South Aust
Ocean & Shoreline Management	Ocean Shoreline. Manage	Ocean Shoreline Manage
Ocean Biocoenosis Series	Ocean Biocoenosis. Ser	Ocean Biocoenosis Ser
Ocean Challenge	Ocean Challenge	Ocean Challenge
Ocean Management	Ocean Manage	Ocean Manage
Ocean Research (Seoul)	Ocean Res. (Seoul)	Ocean Res (Seoul)
Ocean Science Journal	Ocean Sci. J	Ocean Sci J
Oceanic Fisheries Programme Technical Report	Ocean Fish Programme. Tech. Rep	Ocean Fish Programme Tech Rep
Oceanides	Oceanides	Oceanides
Oceanis	Oceanis	Oceanis
Oceanographic Research Institute (Durban) Investigational Report	Oceanogr. Res. Inst. (Durban). Investig. Rep	Oceanogr Res Inst (Durban) Investig Rep
Oceanographic Research Institute Special Publication	Oceanogr. Res. Inst. Spec. Publ	Oceanogr Res Inst Spec Publ
Oceanographical Magazine	Oceanogr. Mag	Oceanogr Mag
Oceanographie Tropicale	Oceanogr. Trop	Oceanogr Trop
Oceanography and Marine Biology an Annual Review	Oceanogr. Mar. Biol. Annu. Rev	Oceanogr Mar Biol Annu Rev
Oceanologia et Limnologia Sinica	Oceanol. Limnol. Sin	Oceanol Limnol Sin
Oceanologica Acta Special Issue	Oceanol. Acta Spec. Issue	Oceanol Acta Spec Issue
Oceanological Studies	Oceanol. Stud	Oceanol Stud
Oceanology	Oceanology	Oceanology
Oceanorama	Oceanorama	Oceanorama
Oceans	Oceans	Oceans
Ochrana Prirody	Ochr. Prir	Ochr Prir
Ochrana Rostlin (Prague)	Ochr. Rostl. (Prague)	Ochr Rostl (Prague)
Ochrona Przyrody	Ochr. Przyr	Ochr Przyr
Ochrona Roslin (Warsaw)	Ochr. Rosl. (Wars)	Ochr Rosl (Wars)
Ocrotirea Naturii si a Mediului Inconjurator	Ocrotirea. Nat. Mediu. Inconj	Ocrotirea Nat Mediu Inconj
Ocrotirea Naturii	Ocrotirea. Nat	Ocrotirea Nat
OCS Study Report MMS	OCS. Study Rep. MMS	OCS Study Rep MMS
ODI Wildlife Policy Briefing	ODI. Wildl. Policy. Brief	ODI Wildl Policy Brief
Odjeljenja Prirodnikh Nauka Crnogorska Akademija Nauka i Umjetnosti Glasnik	Od. Prir. Nauka. Crnog. Akad. Nauka. Umjet. Glas	Od Prir Nauka Crnog Akad Nauka Umjet Glas
Odonata Recording Scheme Newsletter	Odonata. Rec. Scheme. Newsl	Odonata Rec Scheme Newsl
Odonatological Abstract Service	Odonatol. Abstr. Serv	Odonatol Abstr Serv
Odonatological Monographs	Odonatol. Monogr	Odonatol Monogr
Odonatrix	Odonatrix	Odonatrix
Oecologia (Berlin)	Oecologia. (Berl)	Oecologia (Berl)
Oedippus	Oedippus	Oedippus
Oeko-L	Oeko-L	Oeko-L
Oekologie & Naturschutz	Oekol. Natschutz	Oekol Natschutz
Oekologie der Voegel Sonderheft	Oekol. Voegel. Sonderh	Oekol Voegel Sonderh
Oekologie der Voegel	Oekol. Voegel	Oekol Voegel
Oekologie in Forschung und Anwendung	Oekol. Forsch. Anwend	Oekol Forsch Anwend
Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Anzeiger Abteilung I	Oesterr. Akad. Wiss. Math-Natwiss. Kl. Anz. Abt. I	Oesterr Akad Wiss Math-Natwiss Kl Anz Abt I
Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Denkschriften	Oesterr. Akad. Wiss. Math-Natwiss. Kl. Denkschr	Oesterr Akad Wiss Math-Natwiss Kl Denkschr
Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I	Oesterr. Akad. Wiss. Math-Natwiss. Kl. Sitzungsber. Abt. I	Oesterr Akad Wiss Math-Natwiss Kl Sitzungsber Abt I
Oesterreichische Wasser- und Abfallwirtschaft	Oesterr. Wasser- Abfallwirtsch	Oesterr Wasser- Abfallwirtsch
Oesterreichische Wasserwirtschaft	Oesterr. Wasserwirtsch	Oesterr Wasserwirtsch
Of Sea and Shore	Of. Sea Shore	Of Sea Shore
Official Journal of the European Communities L Legislation	Off. J. Eur. Communities. L. Legis	Off J Eur Communities L Legis
Ofioliti	Ofioliti	Ofioliti
Ogasawara Research	Ogasawara. Res	Ogasawara Res
OGH-Aktuell	OGH-Aktuell	OGH-Aktuell
Ohio Agricultural Research and Development Center Research Circular	Ohio. Agric. Res. Dev. Cent. Res. Circ	Ohio Agric Res Dev Cent Res Circ
Ohio Biological Survey Biological Notes	Ohio. Biol. Surv. Biol. Notes	Ohio Biol Surv Biol Notes
Ohio Biological Survey Informative Circular	Ohio. Biol. Surv. Inf. Circ	Ohio Biol Surv Inf Circ
Ohio Biological Survey Informative Publication	Ohio. Biol. Surv. Inf. Publ	Ohio Biol Surv Inf Publ
Ohio Biological Survey Miscellaneous Contributions	Ohio. Biol. Surv. Misc. Contrib	Ohio Biol Surv Misc Contrib
Ohio Division of Geological Survey Bulletin	Ohio. Div. Geol. Surv. Bull	Ohio Div Geol Surv Bull
Ohio Division of Geological Survey Report of Investigations	Ohio. Div. Geol. Surv. Rep. Investig	Ohio Div Geol Surv Rep Investig
Ohio Fish and Wildlife Report	Ohio. Fish Wildl. Rep	Ohio Fish Wildl Rep
Ohio Lepidopterist	Ohio. Lepid	Ohio Lepid
Ohmia	Ohmia	Ohmia
Oil & Chemical Pollution	Oil. Chem. Pollut	Oil Chem Pollut
Oiseau et la Revue Francaise d'Ornithologie	Oiseau. Rev. Fr. Ornithol	Oiseau Rev Fr Ornithol
Okajimas Folia Anatomica Japonica	Okajimas. Folia. Anat. Jpn	Okajimas Folia Anat Jpn
Okeanologiya (Sofia)	Okeanologiya. (Sofia)	Okeanologiya (Sofia)
Oklahoma Geological Survey Bulletin	Okla. Geol. Surv. Bull	Okla Geol Surv Bull
Oklahoma Geological Survey Circular	Okla. Geol. Surv. Circ	Okla Geol Surv Circ
Oklahoma Geological Survey Special Publication	Okla. Geol. Surv. Spec. Publ	Okla Geol Surv Spec Publ
Oklahoma Geology Notes	Okla. Geol. Notes	Okla Geol Notes
Old World Archaeology Newsletter	Old. World Archaeol. Newsl	Old World Archaeol Newsl
Oleagineux	Oleagineux	Oleagineux
Oleoscope	Oleoscope	Oleoscope
Oltenai Studii si Comunicari Stiintele Naturii	Olten. Stud. Comun. Stiint. Nat	Olten Stud Comun Stiint Nat
Oman Bird News	Oman. Bird News	Oman Bird News
OMPO Newsletter	OMPO. Newsl	OMPO Newsl
Online Journal of Biological Sciences	Online J. Biol. Sci	Online J Biol Sci
Online Journal of Parasitology	Online J. Parasitol	Online J Parasitol
Online Journal of Veterinary Research	Online J. Vet. Res	Online J Vet Res
Ontario Archaeology	Ont. Archaeol	Ont Archaeol
Ontario Bird Banding Association Newsletter	Ont. Bird Band. Assoc. Newsl	Ont Bird Band Assoc Newsl
Ontario Bird Banding	Ont. Bird Band	Ont Bird Band
Ontario Birds	Ont. Birds	Ont Birds
Ontario Field Biologist	Ont. Field Biol	Ont Field Biol
Ontario Insects	Ont. Insects	Ont Insects
Ontario Lepidoptera	Ont. Lepid	Ont Lepid
Ontario Odonata	Ont. Odonata	Ont Odonata
Ontogenez	Ontogenez	Ontogenez
Onychium	Onychium	Onychium
Onze Vogels	Onze. Vogels	Onze Vogels
Opera Corcontica	Opera. Corcontica	Opera Corcontica
Opera Lilloana	Opera. Lilloana	Opera Lilloana
Operation Wildlife	Oper. Wildl	Oper Wildl
Operations Research	Oper. Res	Oper Res
Ophelia Supplement	Ophelia. Suppl	Ophelia Suppl
Ophidia Review	Ophidia. Rev	Ophidia Rev
Opiliones (Harvest-Spider) Recording Scheme Newsletter	Opiliones. (Harvest-Spider). Rec. Scheme. Newsl	Opiliones (Harvest-Spider) Rec Scheme Newsl
Opredeliteli po Faune Rossii	Opredeliteli. Faune. Ross	Opredeliteli Faune Ross
Opredeliteli po Faune SSSR	Opredeliteli. Faune. SSSR	Opredeliteli Faune SSSR
Opuscula Zoologica (Budapest)	Opusc. Zool. (Budap)	Opusc Zool (Budap)
Oral Surgery Oral Medicine Oral Pathology	Oral Surg. Oral Med. Oral Pathol	Oral Surg Oral Med Oral Pathol
ORCA	ORCA	ORCA
Orchideer	Orchideer	Orchideer
Orchidophile	Orchidophile	Orchidophile
Oregon Agricultural Experiment Station Technical Bulletin	Oreg. Agric. Exp. Stn. Tech. Bull	Oreg Agric Exp Stn Tech Bull
Oregon Birds	Oreg. Birds	Oreg Birds
Oregon Department of Geology and Mineral Industries Oil and Gas Investigation	Oreg. Dep. Geol. Miner. Ind. Oil. Gas. Investig	Oreg Dep Geol Miner Ind Oil Gas Investig
Oregon Geology	Oreg. Geol	Oreg Geol
Oregon State University Systematic Entomology Laboratory Occasional Publications	Oreg. State. Univ. Syst. Entomol. Lab. Occas. Publ	Oreg State Univ Syst Entomol Lab Occas Publ
Oregon Wildlife	Oreg. Wildl	Oreg Wildl
Organic Letters	Org. Lett	Org Lett
Organisms Diversity & Evolution Electronic Supplement	Org. Divers. Evol. Electron. Suppl	Org Divers Evol Electron Suppl
Organisms Diversity & Evolution	Org. Divers. Evol	Org Divers Evol
Organohalogen Compounds	Organohalog. Compd	Organohalog Compd
Oriental Insects Monograph	Orient. Insects Monogr	Orient Insects Monogr
Orientering Lepidopterologiske Meddelelser	Orientering. Lepidopterol. Medd	Orientering Lepidopterol Medd
Original Report of the Okamura Fossil Laboratory	Orig. Rep. Okamura. Foss. Lab	Orig Rep Okamura Foss Lab
Origins (Loma Linda)	Origins. (Loma. Linda)	Origins (Loma Linda)
Origins of Life and Evolution of the Biosphere	Origins. Life Evol. Biosphere	Origins Life Evol Biosphere
Oriole	Oriole	Oriole
Oriolus	Oriolus	Oriolus
Orion	Orion	Orion
Orkney Bird Report	Orkney. Bird Rep	Orkney Bird Rep
Orkney Field Club Bulletin	Orkney. Field Club Bull	Orkney Field Club Bull
Ornis Flandriae	Ornis. Flandriae	Ornis Flandriae
Ornis Hungarica	Ornis. Hung	Ornis Hung
Ornis Scandinavica	Ornis. Scand	Ornis Scand
Ornis	Ornis	Ornis
Ornithologen-Kalender	Ornithol-Kal	Ornithol-Kal
Ornithologia	Ornithologia	Ornithologia
Ornithological Monographs	Ornithol. Monogr	Ornithol Monogr
Ornithological Science	Ornithol. Sci	Ornithol Sci
Ornithological Society of the Middle East Bulletin	Ornithol. Soc. Middle East Bull	Ornithol Soc Middle East Bull
Ornithologische Beobachter Beiheft	Ornithol. Beob. Beih	Ornithol Beob Beih
Ornithologische Beobachter	Ornithol. Beob	Ornithol Beob
Ornithologische Gesellschaft Basel Jahresbericht	Ornithol. Ges. Basel. Jahresber	Ornithol Ges Basel Jahresber
Ornithologische Jahresberichte des Museum Heineanum	Ornithol. Jahresber. Mus. Heineanum	Ornithol Jahresber Mus Heineanum
Ornithologische Jahreshefte fuer Baden-Wuerttemberg	Ornithol. Jahresh. Baden-Wuertt	Ornithol Jahresh Baden-Wuertt
Ornithologische Mitteilungen	Ornithol. Mitt	Ornithol Mitt
Ornithologische Schnellmitteilungen fuer Baden-Wuerttemberg	Ornithol. Schnellmitt. Baden-Wuertt	Ornithol Schnellmitt Baden-Wuertt
Ornithologische Verhandlungen	Ornithol. Verh	Ornithol Verh
Ornithologischer Anzeiger	Ornithol. Anz	Ornithol Anz
Ornithologischer Bericht fuer Berlin (West)	Ornithol. Ber. Berl. (West)	Ornithol Ber Berl (West)
